เลขที่ใบส่งสินค้า,วันที่,รหัสบริษัท,รหัสพนักงาน,เลขที่ใบสั่งซื้อ
47/2303,2543-01-01,012,100,
47/2304,2543-01-01,012,100,
013/0645,2544-02-09,012,100,
013/0718,2544-02-15,003,100,
1/01716396,2544-02-19,002,100,
1/06141638,2544-02-19,002,100,
3084,2544-02-19,037,100,
112/5578,2544-02-21,018,100,
018/0872,2544-02-23,012,100,
12345,2544-02-23,002,100,
13023,2544-02-23,002,100,
010/0458,2544-10-17,081,100,0005
010/0463,2544-10-31,012,100,
1/7,2544-10-31,004,100,
012/0585,2544-11-07,012,100,
112/5573,2544-11-21,018,100,
19/0924,2544-11-27,012,100,
20/0997,2544-12-03,012,100,
15/002,2544-12-06,040,100,
112/5584,2544-12-12,018,100,
24/1159,2544-12-12,012,100,
1/12,2544-12-13,035,100,
13/766,2544-12-13,003,100,
25/12,2544-12-13,035,100,
112/5588,2544-12-14,018,100,
13/0748,2544-12-17,003,100,
27/12/2544,2544-12-28,012,100,
441/2223,2545-01-02,017,100,
4412223,2545-01-02,017,100,
30/1465,2545-01-04,012,100,
58/2898,2545-01-04,008,100,
58/2899,2545-01-04,008,100,
30/1492,2545-01-09,012,100,
1/022,2545-01-10,028,100,
112/5590,2545-01-10,018,100,
35/1711,2545-01-14,012,100,
32/1590,2545-01-22,012,100,
35/1749,2545-01-22,012,100,
70/86142,2545-01-22,003,100,
59/2925,2545-01-28,008,100,
32/533,2545-01-30,017,100,
1/61110647,2545-02-05,002,100,
112/5592,2545-02-05,018,100,
13/3,2545-02-05,046,100,
24/7,2545-02-06,040,100,
3//1941,2545-02-06,012,100,
39/1940,2545-02-06,012,100,
59/2938,2545-02-18,008,100,
59/2939,2545-02-18,008,100,
59/2941,2545-02-18,008,100,
13/0789,2545-02-21,003,100,
45/2239,2545-02-28,012,100,
49/2401,2545-03-08,012,100,
11/3,2545-03-11,018,100,
49/2445,2545-03-11,012,100,
52/2572,2545-03-21,012,100,
113/5611,2545-03-22,018,100,
113/5613,2545-03-22,018,100,
60/2992,2545-03-22,012,100,
54/2688,2545-03-26,012,100,
59/2902,2545-03-27,012,100,
60/3000,2545-03-29,008,100,
5/103,2545-04-04,040,100,
113/5616,2545-04-12,018,100,
113/6514,2545-04-12,018,100,
17/30512,2545-04-12,017,100,
5/6,2545-04-12,047,100,
58/2851,2545-04-12,012,100,
60/2994,2545-04-12,012,100,
8/16,2545-04-25,040,100,
1/39,2545-05-03,008,100,
1/40,2545-05-03,008,100,
61/3038,2545-05-03,012,100,
61/3039,2545-05-03,012,100,
62/3085,2545-05-03,012,100,
1/60112478,2545-05-07,002,100,
66/3269,2545-05-13,012,100,
66/3270,2545-05-13,012,100,
67/3339,2545-05-13,012,100,
2/52,2545-05-14,008,100,
13/0545,2545-05-15,018,100,
113/5626,2545-05-17,018,100,
70/3496,2545-05-17,012,100,
113/5633,2545-05-29,018,100,
113/5635,2545-05-29,018,100,
13/634,2545-05-31,048,100,
113/5638,2545-06-05,018,100,
2/69,2545-06-05,008,100,
2/70,2545-06-05,008,100,
2/72,2545-06-05,008,100,
64/3177,2545-06-06,012,100,
5/11,2545-06-12,040,100,
73/3628,2545-06-12,012,100,
26771/1012,2545-06-18,019,100,
76/3796,2545-06-18,012,100,
76/3797,2545-06-18,012,100,
2/100,2545-06-25,008,100,
3/101,2545-06-25,008,100,
7829/157,2545-06-25,048,100,
79/3943,2545-06-25,012,100,
3/116,2545-07-03,008,100,
3/117,2545-07-03,008,100,
92/4580,2545-07-03,012,100,
92/4582,2545-07-03,012,100,
113/5648,2545-07-04,018,100,
120/11,2545-07-04,002,100,
133/20,2545-07-04,002,100,
30/45,2545-07-04,040,100,
3/123,2545-07-08,008,100,
7923/159,2545-07-08,048,100,
7958/160,2545-07-08,048,100,
94/46/79,2545-07-08,012,100,
14/695,2545-07-15,006,100,
98/4873,2545-07-15,012,100,
1/33,2545-07-30,012,100,
2/63,2545-07-30,012,100,
3/6641,2545-08-02,051,100,
114/5654,2545-08-06,018,100,
114/5656,2545-08-06,018,100,
5/249,2545-08-08,012,100,
8/365,2545-08-08,012,100,
10/487,2545-08-14,012,100,
13/855,2545-08-16,003,100,
1/61811464,2545-08-21,002,100,
1/61814642,2545-08-21,002,100,
1/61814648,2545-08-21,002,100,
14/654,2545-08-21,012,100,
10/13,2545-08-22,052,100,
14/665,2545-08-22,012,100,
31092/17,2545-08-22,017,100,
14/669,2545-08-23,012,100,
51/1305,2545-09-02,008,100,
19/908,2545-09-05,012,100,
700/34962,2545-09-10,053,100,
8278/166,2545-09-10,048,100,
9/25,2545-09-16,047,100,
16/784,2545-09-20,006,100,
25/1244,2545-09-20,012,100,
8355/168,2545-09-20,048,100,
8368,2545-09-23,048,100,
105539,2545-09-24,019,100,
26/1276,2545-09-24,012,100,
27/1312,2545-09-24,012,100,
43/2105,2545-09-26,054,100,
1/1,2545-09-27,055,100,
1/2,2545-09-27,056,100,
10/28,2545-09-27,052,100,
28/1378,2545-09-27,012,100,
6081536008,2545-09-27,002,100,
31/1504,2545-10-02,012,100,
6131552136,2545-10-05,002,100,
18/9,2545-10-08,057,101,
31/1510,2545-10-08,012,101,
1/27,2545-10-12,003,100,
6/257,2545-10-12,008,100,
74/1,2545-10-17,047,100,
34/1685,2545-10-21,012,100,
1/24,2545-10-24,047,100,
35/1702,2545-10-24,012,100,
8558/172,2545-10-24,048,100,
6/297,2545-10-25,059,100,
1/28,2545-10-28,003,100,
1/3,2545-10-28,056,100,
34/1686,2545-10-28,012,100,
35/1745,2545-10-28,012,101,
7292,2545-10-28,060,100,
6/258,2545-10-29,008,101,
6/260,2545-11-04,008,100,
8/369,2545-11-07,047,101,
11/10,2545-11-08,052,101,
40/1995,2545-11-08,012,101,
40/1997,2545-11-08,012,100,
8642/173,2545-11-08,048,101,
8/7,2545-11-12,040,100,
19/12,2545-11-14,040,100,
106689,2545-11-15,019,100,
43/2121,2545-11-15,012,100,
3/121,2545-11-18,003,100,
114/5673,2545-11-19,018,100,
1911/2,2545-11-19,002,100,
2/69/45,2545-11-20,061,100,
45/2237,2545-11-20,012,100,
45/2238,2545-11-20,012,100,
92/4563,2545-11-21,012,100,
47/2314,2545-11-25,012,100,
13/619166,2545-11-28,002,100,
2/347,2545-11-28,062,100,
51/2535,2545-12-09,012,100,
53/2606,2545-12-12,012,100,
8844/177,2545-12-14,048,100,
55/2730,2545-12-23,012,100,
57/2808,2545-12-23,012,100,
57/2810,2545-12-23,012,100,
57/2811,2545-12-23,012,100,
57/2819,2545-12-23,012,100,
114/5684,2545-12-24,018,100,
58/2864,2545-12-26,012,100,
9021/181,2546-01-13,048,100,
114/5700,2546-01-16,018,100,
63/3139,2546-01-17,012,100,
66/3269/1,2546-01-22,012,100,
3/10,2546-01-27,040,100,
3/9,2546-01-27,040,100,
67/3339/1,2546-01-28,012,100,
4601298/19,2546-02-01,017,100,
2/7,2546-02-06,040,100,
44/2158,2546-02-19,040,100,
20/2/46,2546-02-21,048,100,
76/3761,2546-02-25,012,100,
115/5712,2546-03-03,018,100,
9369/188,2546-03-10,048,100,
83/4110,2546-03-17,012,100,
83/4112,2546-03-17,012,100,
2/4,2546-03-25,040,100,
86/4284,2546-04-01,012,100,
213/33046,2546-04-02,017,100,
7/39,2546-04-02,047,100,
17/1326,2546-04-09,003,100,
77/2,2546-04-09,040,100,
89/4427,2546-04-09,012,100,
194/9613,2546-04-11,003,100,
88/4382,2546-04-17,012,100,
91/4516,2546-04-22,012,100,
10/454,2546-04-24,003,100,
1/11228597,2546-04-25,002,100,
1/1229735,2546-04-25,002,100,
1/21226973,2546-04-25,002,100,
1/21229736,2546-04-25,002,100,
72/4570,2546-04-29,012,100,
92/4566,2546-04-29,012,100,
92/4568,2546-04-29,012,100,
92/4569,2546-04-29,012,100,
95/4704,2546-05-09,012,100,
1/12800898,2546-05-11,037,100,
9770/196,2546-05-11,048,100,
97/4827,2546-05-13,012,100,
97/4829,2546-05-13,012,100,
17/1399,2546-05-22,003,100,
1/39/1,2546-05-29,063,100,
105/5235,2546-05-30,012,100,
105/5236,2546-05-30,012,100,
9/435,2546-05-30,008,100,
107/5307,2546-06-02,012,100,
8/71,2546-06-02,040,100,
115/5734,2546-06-09,018,100,
2/51,2546-06-10,012,100,
9/440,2546-06-10,008,100,
9/441,2546-06-10,008,100,
10/452,2546-06-12,008,100,
1/6013,2546-06-18,002,100,
1/6015,2546-06-18,002,100,
1/6016,2546-06-18,002,100,
10023/201,2546-06-18,048,100,
10073/202,2546-06-23,048,100,
35/3มอ2,2546-06-23,003,100,
IV9533,2546-06-24,007,100,
1/18,2546-06-25,056,100,
6/261,2546-06-25,012,100,
10/459,2546-06-30,008,100,
10/463,2546-06-30,008,100,
8/352,2546-06-30,012,100,
8/353,2546-06-30,012,100,
65/4,2546-07-04,003,100,78/38
1/19,2546-07-08,056,100,
10/459/1,2546-07-08,012,100,
14/696,2546-07-08,028,100,
7/7,2546-07-08,048,100,
iv4607149,2546-07-09,017,100,
14/79,2546-07-10,047,100,
14/676,2546-07-18,012,100,
14/677,2546-07-18,012,100,
14/678,2546-07-18,012,100,
34788/19,2546-07-23,017,100,
813,2546-07-23,064,100,
16/752,2546-07-26,028,100,
16/790,2546-07-26,012,100,
7/15,2546-07-30,040,100,
55/2719,2546-08-01,065,100,
168/82/406,2546-08-06,003,100,
23/1120,2546-08-06,012,100,
23/1121,2546-08-06,012,100,
10/95,2546-08-11,040,100,
10425/209,2546-08-11,048,100,
27/1330,2546-08-13,012,100,
27/1331,2546-08-13,012,100,
5/21,2546-08-13,061,100,
11/502,2546-08-15,008,100,
27/1350,2546-08-15,012,100,
28/1371/1,2546-08-20,012,100,
28/1377/1,2546-08-20,012,100,
28/1378/1,2546-08-20,012,100,
31/1531,2546-08-25,012,100,
2/61,2546-09-07,066,100,
36/1782,2546-09-07,012,100,
36/1784,2546-09-07,012,100,
10686/214,2546-09-08,048,100,
96/4764,2546-09-08,012,100,
16/768,2546-09-10,028,100,
35797/4609,2546-09-10,017,100,
37/1843,2546-09-10,012,100,
37/1845,2546-09-10,012,100,
40/1966,2546-09-15,012,100,
41/2048,2546-09-18,012,100,
41/2049,2546-09-18,012,100,
43/2110,2546-09-22,012,100,
1/22,2546-09-23,056,100,
42/2074,2546-09-23,012,100,
319/87/430,2546-09-26,064,100,
7/58,2546-09-27,003,100,
5/17,2546-09-30,040,100,
10868/218,2546-10-03,048,100,
961,2546-10-03,064,100,
11/529,2546-10-06,012,100,
2/88,2546-10-06,066,100,
48/2389,2546-10-08,012,100,
1/40/1,2546-10-10,067,100,10/10
49/2428,2546-10-10,012,100,
363/3,2546-10-17,003,100,
51/2523,2546-10-17,012,100,
18/891,2546-11-01,068,100,
55/2724,2546-11-01,065,100,
55/2725,2546-11-01,012,100,
55/2726,2546-11-01,012,100,
55/2741,2546-11-05,001,100,
55/2741/1,2546-11-05,012,100,
1/5,2546-11-10,048,100,
18/889,2546-11-10,065,100,
58/2872,2546-11-10,012,100,
58/2873,2546-11-10,012,100,
55/2746,2546-11-11,012,100,
55/2750,2546-11-11,012,100,
44/433,2546-11-17,003,100,
62/3060,2546-11-18,012,100,
111109/223,2546-11-19,048,100,
63/3110,2546-11-19,012,100,
88/4357,2546-11-25,003,100,
14/689,2546-12-01,069,100,
69/3413,2546-12-04,012,100,
71/3507,2546-12-09,012,100,
71/3510,2546-12-09,012,100,
19/913,2546-12-11,068,100,
3/23,2546-12-11,035,100,
11261/226,2546-12-16,048,100,
72/3589,2546-12-16,012,100,
1/26,2546-12-22,056,100,
12/587,2546-12-22,008,100,
12/588,2546-12-22,008,100,
73/3646,2546-12-22,012,100,
73/3649,2546-12-22,012,100,
74/3664,2546-12-22,012,100,
11304/227,2546-12-23,048,100,
12/600,2546-12-24,008,100,
76/3796/1,2547-01-05,012,100,
81/4007,2547-01-12,012,100,
81/4027,2547-01-12,012,100,
11518/231,2547-01-19,048,100,
105/5201,2547-01-20,012,100,
105/5215,2547-01-20,012,100,
105/5220,2547-01-20,012,100,
13/620,2547-01-20,008,100,
13/621,2547-01-20,008,100,
13/623,2547-01-20,008,100,
13/625,2547-01-21,008,100,
103/5150,2547-01-28,012,100,
13/630,2547-01-28,008,100,
1/7/1,2547-01-29,040,100,
1/13615,2547-01-30,002,100,
1/20,2547-02-06,065,100,
107/5323,2547-02-06,012,100,
13/639,2547-02-06,008,100,
13/641,2547-02-06,008,100,
13/642,2547-02-09,008,100,
107/5346,2547-02-10,012,100,
93/4610,2547-02-10,012,100,
13/632,2547-02-11,065,100,
213/38363,2547-02-16,017,100,
4/200,2547-02-19,048,100,
11744/235,2547-02-20,048,100,
4/5,2547-02-24,040,100,
99/4926,2547-02-24,012,100,
14/658,2547-03-03,008,100,
14/659,2547-03-03,008,100,
14/660,2547-03-03,008,100,
18/38517,2547-03-03,017,100,
97/4811,2547-03-03,012,100,
12/48,2547-03-04,070,100,
82/4075,2547-03-09,012,100,
82/4076,2547-03-09,012,100,
96/4796,2547-03-12,012,100,
3/7,2547-03-16,020,100,
12550/239,2547-03-18,048,100,
213/470304,2547-03-22,017,100,
15/701,2547-04-01,008,100,
66/45,2547-04-01,020,100,
89/4404,2547-04-01,012,100,
92/4555,2547-04-01,012,100,
14/673,2547-04-05,008,100,
16/766,2547-04-05,065,100,
11865,2547-04-09,072,100,
12162/244,2547-04-09,048,100,
14/676/1,2547-04-09,008,100,
